Dates,risk
2020-04-30,0.011054088741037717
2020-05-01,0.010593939760500945
2020-05-02,0.007742677101158904
2020-05-03,0.007979732322651962
2020-05-04,0.008239995120346452
2020-05-05,0.00852751920604837
2020-05-06,0.008633057090351871
2020-05-07,0.00898262039890194
2020-05-08,0.008884355845410447
2020-05-09,0.00750071729903214
2020-05-10,0.007868609152829997
2020-05-11,0.008296600876932137
2020-05-12,0.00880308945362771
2020-05-13,0.006969097092573347
2020-05-14,0.004728110263801667
2020-05-15,0.002550711665398502
2020-05-16,0.002405
2020-05-17,0.0027770547948021
2020-05-18,0.0034011836175072935
